id,name,description,type
part8_cooperation_networks,建立同行合作网络,合作网络将竞争对手相互合作依赖的活动关系看作企业网络。企业通过合作网络获得所需资本技术人才等要素，克服自身局限实现特定目标。拜尔与美国生物技术公司合作研制新药分担13亿欧元研发费用,第八部分
part8_joint_ventures,成立合资公司,通过合资公司构建受法律保护的合作载体，共同出资经营负盈亏担风险。博世西门子1967年合资成立博世-西门子家用电器公司50年成为欧洲最大家用电器制造商。2001年联合收购曼内斯曼公司各取所需,第八部分
part8_corporate_groups,打造企业集团,比合资公司更进一步的合作形式，将外部合作直接内部化。1926年奔驰公司和戴姆勒公司合并成戴姆勒-奔驰股份公司。1999年蒂森公司和克虏伯公司完成合并成为二战后德国最大规模公司合并,第八部分
part8_auto_cooperation,三大汽车制造商之间的合作,德国三大汽车公司宝马戴姆勒大众联合收购诺基亚地图业务，联合建设充电桩对抗特斯拉。合并汽车共享平台Car2Go和DriveNow阻止优步占领欧洲市场。大众戴姆勒合作成立Heycar二手车平台,第八部分
part8_unite_against_outside,联合起来一致对外,德国企业联手对抗美国FAANMG互联网巨头。United Internet与RTL和ProSiebenSat.1成立netID基金会，与戴姆勒施普林格德意志银行安联保险成立的Verimi平台合作，打造欧洲数据平台,第八部分
part8_industry_associations,借力行业协会,中小企业通过行业协会团结起来影响力更大。《哈佛商业评论》认为德国中小企业成功重要原因是强大积极主动的行业协会。巴登苻登堡地区机床行业协会将该地区发展成德国机床行业中心,第八部分
part8_framework_conditions,框架条件,同行合作成功关键要素：信任（合作协议约束+信任）、忠诚（信守合作协议）、任务分工（清晰明确的任务分工）、沟通（必要信息共享把对方看作合作伙伴）。不能违反反垄断法，德国卡特尔法对中小企业网开一面,第八部分
part8_competitive_analysis,竞争分析和标杆管理,德国企业进行竞争分析发现独具风格的机会，标杆管理改善企业内部运作过程增强竞争能力。保时捷公司1991年破产边缘，魏德金学习日本丰田精益生产管理经验，成立保时捷咨询公司传授德国中小企业,第八部分
part8_didi_kuaidi_case,滴滴快的补贴大战案例分析,2014年滴滴快的补贴大战，不足半年投入超24亿元补贴。形成双寡头竞争格局占据99.8%市场份额，但无法找到有效盈利模式。2015年2月14日两家实现战略合并，体现了恶性竞争的后果和启示,第八部分
part9,第九部分 保持与客户的长期和紧密的关系,德国企业成功秘诀是在保持技术优势前提下重视与客户长期合作关系。采用直接销售模式，建立扁平化组织结构，高管维护客户关系，为客户提供一体化解决方案，赢得客户信任,第九部分
part9_longterm_customer_relations,重视与客户的长期合作关系,德国企业成功秘诀之一是保持技术优势前提下重视与客户长期合作关系，通过一揽子措施不断提高客户满意度。采用直接销售模式而非通过进出口商或经销商，海外扩张倾向建立完全独资子公司,第九部分
part9_flat_organization,扁平化的组织结构,小企业在贴近客户方面有先天优势，人员数量和汇报层级较少。大型企业通过缩减汇报层级实行扁平化组织结构，按不同细分市场或客户群体分成多个独立子公司或事业部实行分散化经营去中心化,第九部分
part9_executive_customer_relations,高管维护客户关系,德国企业界认为与客户交流应该是企业管理人员首先完成的任务。企业高管必须亲临现场了解客户需求，75%隐形冠军企业高管与客户有密切私人交往。很多家族企业高管受过技术培训能为客户提供专业建议,第九部分
part9_demanding_customers,让世界上最挑剔的客户满意,德国人是世界上要求最高最挑剔的客户。德国企业认为要成为行业标杆就必须赢得顶尖客户青睐，利用顶尖客户作为企业水平助推器。顶级客户同时是最好的背书人，德国汽车零部件行业涌现优秀企业很大程度上是德国汽车制造商苛刻要求逼出来的,第九部分
part9_integrated_solutions,为客户提供一体化的解决方案,德国企业标准说辞：我们不是卖产品我们是提供一体化的整体解决方案我们是系统供应商。一体化解决方案意味着价值创造深化，增加客户对供应商依赖程度，提高新竞争者市场进入壁垒，报价较高利润空间比较大,第九部分
part9_customer_service,客户服务,客户服务分为售前服务和售后服务。德国企业更擅长服务B2B客户而不精于服务B2C客户。很多德国企业产品比较复杂，咨询和培训成为客户服务重要组成部分。克朗斯公司拥有发达的备件供应体系和中央数据库,第九部分
part9_customer_trust,赢得客户信任,罗伯特博世经商信条：宁肯损失金钱也不能损失信用。2/3德国客户如果失去信任不会再考虑继续购买。德国企业通过专门法务团队控制管理合同、培养员工法律意识、尽最大努力履行合同三种方式建立遵守合同的良好信誉形象,第九部分
part9_brand_reputation,墙内开花墙外香,德国企业都是墙内开花墙外香，通过适度营销宣传扩大海外市场品牌知名度和市场份额。德国制造作为国家品牌品质象征起到很大推动作用。双立人290年历史从1851年就定期参加世博会屡获奖牌，80%销售额来源于德国以外市场,第九部分
part9_dual_governance,德国企业的双重治理结构,从1870年开始德国股份公司和有限责任公司实行双重公司治理结构：监事会由股东和员工代表组成，董事会负责日常运营。CEO只是董事会成员代表和发言人，决策都是全体成员集体讨论协商形成。监事会主要职责是任命监督董事会成员制定薪酬提供咨询建议,第九部分
part10,第十部分 吸引并留住核心员工,德国企业认为高质量员工是关键资源，员工流动率极低。通过就地取材、核心价值观匹配、员工培训技能提升、内部培养管理人员、专家型发展模式、利润分享、有吸引力的薪酬福利、充分授权、提供安全感、欢迎人才回流等方式吸引并留住核心员工,第十部分
part10_employee_turnover,德国企业的员工流动率,德国企业员工流动率最低仅7.3%，隐形冠军甚至低至2.7%，意味着员工平均效力同一企业37年。行业体制抑制挖墙角行为，员工极低流动性和极高忠诚度是德国企业提供高质量产品服务的重要前提，对客户忠诚度形成积极影响,第十部分
part10_local_talent,就地取材,德国企业倾向从驻地附近高校职业学校招聘员工并保持长期合作关系。中小企业通过展示世界市场领先地位、技术创新能力、国际化定位和升迁速度快等优势吸引人才。海外市场实现人才本土化降低成本,第十部分
part10_value_alignment,员工与企业的核心价值观一致,从招聘环节挑选与企业核心价值观和经营理念相契合的员工。德国企业最看重员工社会交往能力和团队合作能力，技术能力可以培养但社会技能难学。选择优秀员工比培训更关键，投资回报率更高,第十部分
part10_training,员工培训和技能提升,德国企业重视员工培训投资提高技能。根据任务工序特点决定由人还是机器完成，专业技能人才受到高度尊重。培训内容技术性专业性强，员工跳槽无法带走专用技能。学习培训成为工作一部分,第十部分
part10_internal_promotion,内部培养管理人员,德企高管2/3内部提拔1/3外聘。从企业外部任命CEO是高风险赌博，内部提拔犯错概率更低。为有潜力年轻管理人员提供明确职业发展计划，实行分权式管理提供大量管理岗位培训经验,第十部分
part10_expert_track,专家型发展模式,管理岗位有限，并非所有优秀员工都有机会当管理者。推行专家型职业发展模式，为具有高度技术专业知识和丰富经验的专家型员工提供广阔发展空间。分5个级别从资深专家到院士与最高管理人员平级,第十部分
part10_profit_sharing,让员工分享利润,为激励员工推出系列措施让员工管理层分享公司成功经营带来的利润。西门子早期就认识到让全体员工按业绩参与利润分配的重要性。贝塔斯曼通过员工利润分享筹集资本，员工持股占公司资本1/3,第十部分
part10_compensation,提供有吸引力的薪酬福利和工作条件,德国企业争先提供有吸引力的薪酬福利工作条件吸引留住优秀员工，尽量减少员工收入差异建立相对平等平衡薪酬体系。西门子1872年建立企业内养老保险制度，提供工厂食堂医院宿舍等设施,第十部分
part10_authorization,充分授权,信任员工充分授权激发主动性创造性。中小企业容易实现，大企业通过分成多个独立运营子公司或事业部实现。德企决策过程共识导向，团队是普遍形式，给予足够发展时间和自主权,第十部分
part10_job_security,让员工具有安全感,德企裁员现象比英美企业少得多，裁员是迫不得已时最后手段。经济危机时采用缩短工时调整岗位继续教育培训等措施与员工共度时艰。家族企业在创造员工安全感方面具有先天优势,第十部分
part10_boomerang_employees,欢迎好马吃回头草,终极目标是杜绝人才流失，如不能达到则重新赢回公司需要的员工。雇佣老员工比新员工更简单节省成本，老员工再次回归后建立更深更牢固忠诚度。高科技行业尤为常见，SAP公司2%员工都是回流的老马,第十部分
part11,第十一部分 稳健保守的财务政策,德国企业奉行谨慎保守的财务政策，注重私密因素，保持财务独立性，依赖内源融资，为潜在风险留足准备金，推崇现金为王策略。企业家谨慎低调务实，信奉活下去比什么都重要的经营哲学,第十一部分
part11_conservative_finance,奉行谨慎保守的财务政策,德国企业是西方国家中的白乌鸦，不屑于英美产业金融制度，不愿对新思潮随波逐流。中小家族企业一半以上资金来自企业内部，大型家族企业平均股东权益比达43.5%，只有不危及公司稳定的风险才值得承担,第十一部分
part11_privacy_factors,注重私密因素,德国文化注重私密因素，企业主希望对个人及企业资产状况保持低调。出于安全考虑避免参与公众活动。德国首富阿尔布莱希特为不对外公布企业资产状况将连锁超市拆分成多家独立公司，私人生活完全隐形,第十一部分
part11_financial_independence,保持财务上的独立性,德国家族企业为保证财务和决策独立性大部分不愿上市。企业上市需要承受资本市场压力看投资者脸色，资本市场偏短视会对企业经营管理指手画脚。希望主要依靠自身资金维持稳定增长保证研发创新投资,第十一部分
part11_internal_financing,内源融资,德国企业普遍倾向于内源融资，资金来源中平均65%属于内源融资。内源融资是企业通过内部积累方式筹集资金，融资成本低没有还本义务不存在偿付风险。四种表现形式：盈余融资、折旧融资、准备金融资、资产重组,第十一部分
part11_risk_reserves,为潜在风险留足准备金,德国商法典允许非上市企业合法预留储备金。西门子公司财务决策两大原则是最大安全性和独立性，长期财务政策包括自有资本占比高、贷款长期性、红利分发谨慎、储备金份额大等,第十一部分
part11_cash_is_king,现金为王,德国企业普遍重视现金流推崇现金为王基本策略，不会举债过多，强调及时回款保证偿债能力。高管重视应收账款管理，定期沟通上报逾期付款情况，设置授信赊销额度上限，根据客户信用记录调整额度,第十一部分
part12,第十二部分 代际传承 基业长青,家族企业传承是基业长青的关键，包括企业家精神权威、经营管理经验知识技巧、人脉社会资本、企业文化、家规族规等要素传承。德国家族企业通过家族宪章、传统与现代结合、确保代际顺利传承等方式实现基业长青,第十二部分
part12_succession_challenges,中国家族企业代际传承面临的挑战,中国家族企业代际传承面临继承人能力意愿不足、缺乏继承规划、治理模式不完善、存在家庭冲突等普遍问题。创业难守业更难，传承面临两极分化，需要系统性规划和科学管理,第十二部分
part12_succession_elements,家族企业传承的要素,家族企业传承不仅是传位子股份资产，还包括企业家精神和权威传承、经营管理经验知识技巧传承、人脉社会资本传承、企业文化传承、家规族规订立执行等。成功传承的企业都十分重视家族文化建设,第十二部分
part12_succession_advantages,家族企业传承的优势,家族企业代际传承有诸多好处：创业经验代代沉淀积累、资产财富有积淀、品牌声誉得到延续发展、子女创业有良好基础、家族成员有社会声誉地位、家族文化传统有浓缩累积。每代都站在巨人肩膀上,第十二部分
part12_family_constitution,家族宪章,德国300多万家族企业中1/3拥有家族宪章。拥有家族宪章的企业内部职责分工更清晰，共同价值观更强，比没有家族宪章企业更成功。家族宪章体现家族使命核心价值观财富分配权利义务接班继承矛盾调解等,第十二部分
part12_tradition_modern,传统与现代的结合,德国家族企业普遍存在所有权与管理权分离、接班人问题两大矛盾。所有权与管理权适当分离是基业长青秘诀之一，48%家族企业最高管理层由家族成员和职业经理人联合组成，24%是清一色职业经理人,第十二部分
part12_succession_planning,确保代际顺利传承,2013-2017年大约58万家德国中小企业需要接班人执掌企业。德国家族企业代际交替平均需要三年时间，但有些企业家仍延迟制定接班人计划。建议成立顾问组确定继承人权限，考虑维护资产利益保障就业岗位,第十二部分
part13,第十三部分 匡特家族（一）,匡特家族从荷兰移民到勃兰登堡的故事是欧洲移民史的缩影。从埃米尔·匡特的企业家起步，到金特·匡特成为收购大师，再到培养第三代接班人赫伯特·匡特，展现了德国家族企业三代传承的经典案例,第十三部分
part13_immigration,移民勃兰登堡,匡特家族从荷兰来到勃兰登堡，跟其他荷兰移民从事运河建设工作。几代匡特家族都是当地手艺人，有制绳工人鞋匠织布工人。匡特家族振兴之路始于埃米尔·匡特，是家族中第一位资本主义企业家,第十三部分
part13_emil_entrepreneur,从学徒到企业家,埃米尔6岁失去父亲，16岁在德尔格兄弟公司织布厂做工，从学徒成为正式职员最终当上经理。1871年工厂被大火烧毁后重建，1873年经济萧条期间接手纺织公司生意，在11家织布厂中只有他的公司存活下来,第十三部分
part13_management_philosophy,老匡特的经营理念和接班人培养,埃米尔经营上不断购入新机器成为全帝国境内设备最精良的纺织厂，财务上拒绝贷款用自身盈利维持新机器采购。选择金特作为接班人，15岁送到柏林接受教育，后到普鲁士纺织工业中等专科学校学习,第十三部分
part13_gunther_entrepreneur,第二代的企业家之路,金特企业家之路比父亲容易得多，进入公司后很快证明实力业务不断增长。敏锐注意到远房亲戚织布厂出售机会，买下后进行全面现代化改革。积极进取对家族工厂未来进行规划，作为推销员走遍全国各大城市,第十三部分
part13_wwi_period,匡特在一战期间,1914年一战爆发为制服纺织厂带来海量订单，工厂产量短时间增长4倍满负荷生产。金特·匡特成为帝国战争经济部门重要管理者，全身投入原材料战役，结交有影响力人物将影响力扩大到纺织行业以外,第十三部分
part13_acquisition_master,被称为收购大师的金特·匡特,金特从一战中获得丰厚利润，在钾矿业开始新征程。与罗斯特格合作利用国家补偿资金吞并大量竞争公司建立庞大康采恩。通胀期间将流动资产换成实物资产，成功并购AFA公司成为匡特家族崛起重要转折点,第十三部分
part13_herbert_training,培养第三代接班人赫伯特·匡特,赫伯特9岁时母亲去世，因眼疾不得不辍学在家通过听力记忆学习。1927年17岁时哥哥去世改变人生轨迹，金特只能希望二儿子成为企业帝国继承人。先后送到英国法国深造，进行职业培训和实习,第十三部分
part13_generation_transition,匡特家族的世纪交替,金特·匡特去世时留下5500万德国马克巨额遗产，大部分是各公司股票。遗产几乎平均分给赫伯特和同父异母兄弟哈拉尔德。留下详细合同规定儿子们如何分管公司事宜，世纪交替进行得十分顺利,第十三部分
part14,第十四部分 匡特家族（二）,匡特家族第四代的发展历程，包括角逐戴姆勒-奔驰公司和宝马公司的收购战，赫伯特·匡特拯救宝马的传奇经历，第四代传承中复杂的家族财产分割，以及最终形成的现代匡特家族企业治理结构,第十四部分
part14_daimler_competition,角逐戴姆勒-奔驰公司,1954年金特·匡特去世时个人拥有戴姆勒公司3.85%股份。赫伯特和哈拉尔德认识到汽车行业将取代钢铁成为国家重点产业，将股份提高到9%。与煤炭钢铁大亨弗里克角力，最终通过合作协议获得更多股份,第十四部分
part14_bmw_competition,角逐宝马公司,20世纪50年代中期匡特家族把手伸向宝马公司。赫伯特偷偷购买宝马股份及可转换债券，没有告诉弟弟自己动用家族资产。1959年成功买下投机商人克拉格斯持有的大量宝马股份包括可转换债券,第十四部分
part14_bmw_crisis,宝马公司陷入困境,50年代末宝马汽车陷入困境，1958年亏损1200万马克1959年亏损1500万马克。车型政策只为临时工和总经理生产汽车，缺少针对中产群体车型。梅赛德斯奔驰新车各方面均优于宝马最新款,第十四部分
part14_bmw_shareholder_meeting,宝马公司慕尼黑股东大会,1959年12月9日在慕尼黑举行的宝马股东大会在德国经济史上留下重要影响。大股东与小股东严重对立，德意志银行计划将宝马并入戴姆勒。小股东强烈反对巧妙利用资产负债表错误中断会议，收购方案失败,第十四部分
part14_bmw_rescue,拯救宝马,赫伯特做出一生中最大胆选择：接手宝马公司进行重组工作。通过了解新车型、获得州政府支持、更换管理层、筹集资金、获得人才等六个步骤成功拯救宝马。1968年宝马销量达到11亿马克实现扭亏为盈,第十四部分
part14_fourth_generation,第四代传承,1967年哈拉尔德飞机坠毁身亡，1970年因遗产分配分歧进行家族资产划分。涉及宝马戴姆勒瓦尔塔IWKA等公司股份分配。赫伯特将瓦尔塔分成三个独立公司分给第二次婚姻的三个孩子让他们独立经营,第十四部分
part14_mother_children,母亲和子女之间,赫伯特1982年突然离世留下德国最大工业资产，20岁的苏珊娜和16岁的斯蒂芬无法立即接手。指定妻子约翰娜和好友戈尔茨作为遗嘱执行人。继承遗产前提是完成职业培训，26岁后才允许自由支配资金进入监事会任职,第十四部分
part14_bmw_modern,第四代手中的宝马集团,1997年苏珊娜·克拉滕和斯蒂芬·匡特进入宝马监事会，正值宝马收购罗孚困难时期。及时刹车撤换CEO最终将罗孚分拆出去使宝马重回正轨。现在苏珊娜拥有20.8%斯蒂芬拥有25.6%宝马股份，2014年资产估价310亿欧元位居德国财富榜首位,第十四部分
case_guiren_bird,贵人鸟案例分析,从辉煌鞋王到面临退市的贵人鸟发展困境案例。1987年创立，2014年上市巅峰，2018年陷入危机，2023年连续亏损，2024年面临退市。发展困境包括内部运营权力过度集中决策缺乏透明性，外部发展战略制定不合理陷入盲目扩张泥潭，丢失大本营盲目扩张短短几年烧掉近46亿元,案例分析 