source_id,target_id,relationship_type,description
root,part1,CONTAINS,德国家族企业包含第一部分综述内容
part1,part1_basic_data,INCLUDES,第一部分包含德国基本数据
part1,part1_history,INCLUDES,第一部分包含德国简史
part1,part1_definition,INCLUDES,第一部分包含家族企业定义
part1,part1_advantages,INCLUDES,第一部分包含家族企业优势与缺陷分析
part1,part1_types,INCLUDES,第一部分包含家族企业类型分类
part1,part1_development,INCLUDES,第一部分包含家族企业发展状况
part1,part1_famous,INCLUDES,第一部分包含著名德国家族企业介绍
part1,part1_hidden_champions,INCLUDES,第一部分包含隐形世界冠军企业分析
root,part2,CONTAINS,德国家族企业包含第二部分中国家族企业问题分析
part2,part2_china_status,INCLUDES,第二部分包含中国家族企业状况分析
part2,part2_development_process,INCLUDES,第二部分包含家族企业发展历程
part2,part2_characteristics,INCLUDES,第二部分包含中国家族企业第一代特点
part2,part2_confusions,INCLUDES,第二部分包含家族企业面临的困惑与发展怪圈
part2,part2_management_problems,INCLUDES,第二部分包含家族企业管理存在的问题
part2,part2_reform_mistakes,INCLUDES,第二部分包含家族企业管理变革误区
part2,part2_transformation_path,INCLUDES,第二部分包含家族企业的变革之路
root,part3,CONTAINS,德国家族企业包含第三部分德国家族企业特征综述
part3,part3_tum_survey,INCLUDES,第三部分包含慕尼黑工业大学调查报告
part3,part3_coleman_survey,INCLUDES,第三部分包含科尔曼和希伯德调查报告
part3,part3_char1,INCLUDES,第三部分包含立足长远着眼未来价值特征
part3,part3_char2,INCLUDES,第三部分包含强烈的传承观念特征
part3,part3_char3,INCLUDES,第三部分包含以创新引领市场特征
part3,part3_char4,INCLUDES,第三部分包含深耕全球专业细分市场特征
part3,part3_char5,INCLUDES,第三部分包含精益求精的工匠精神特征
part3,part3_char6,INCLUDES,第三部分包含强大的内部凝聚力特征
part3,part3_char7,INCLUDES,第三部分包含谨慎保守的独立财务政策特征
part3,part3_char8,INCLUDES,第三部分包含决策与执行的高度统一特征
part3,part3_char9,INCLUDES,第三部分包含不同形式的权利分配特征
root,part4,CONTAINS,德国家族企业包含第四部分着眼长远的企业目标与战略
part4,part4_exec_stability,INCLUDES,第四部分包含企业高管的稳定性
part4,part4_compensation,INCLUDES,第四部分包含高管的薪酬设计
part4,part4_stakeholder_relations,INCLUDES,第四部分包含长期的利益相关者关系
part4,part4_investment_decisions,INCLUDES,第四部分包含长期的计划和投资决策
root,part5,CONTAINS,德国家族企业包含第五部分以创新引领市场
part5,part5_innovation_management,INCLUDES,第五部分包含设立专门的创新管理团队
part5,part5_incremental_innovation,INCLUDES,第五部分包含渐进式创新
part5,part5_cooperative_innovation,INCLUDES,第五部分包含与合作伙伴共同创新
part5,part5_industry_standards,INCLUDES,第五部分包含争做行业标准制定者
part5,part5_management_innovation,INCLUDES,第五部分包含管理创新
part5,part5_marketing_innovation,INCLUDES,第五部分包含营销创新
part5,part5_people_over_budget,INCLUDES,第五部分包含人员重于预算
part5,part5_advanced_research,INCLUDES,第五部分包含超前研究加速创新
part5,part5_information_technology,INCLUDES,第五部分包含利用信息技术为创新保驾护航
root,part6,CONTAINS,德国家族企业包含第六部分专注与聚焦深耕全球专业细分市场
part6,part6_focus_specialization,INCLUDES,第六部分包含专注与聚焦
part6,part6_global_niche_markets,INCLUDES,第六部分包含深耕全球专业细分市场
part6,part6_specialization_internationalization,INCLUDES,第六部分包含专业化与国际化有效结合
part6,part6_high_value_products,INCLUDES,第六部分包含打造高附加值产品
part6,part6_internationalization_strategy,INCLUDES,第六部分包含制定明确的国际化战略
root,part7,CONTAINS,德国家族企业包含第七部分基于核心能力开展多元化经营
part7,part7_diversification_strategy,INCLUDES,第七部分包含多元化战略
part7,part7_germany_vs_anglosaxon,INCLUDES,第七部分包含德国与英美对比
part7,part7_related_diversification,INCLUDES,第七部分包含相关多元化战略
part7,part7_milupa_case,INCLUDES,第七部分包含相关多元化成功案例美乐宝
part7,part7_selective_diversification,INCLUDES,第七部分包含有选择性的业务多元化
part7,part7_cooperation_acquisition,INCLUDES,第七部分包含通过合作与收购进行多元化
part7,part7_commercial_diversification,INCLUDES,第七部分包含商业企业的多元化经营
part7,part7_after_sales_maintenance,INCLUDES,第七部分包含深挖售后和维修业务
part7,part7_divest_noncore,INCLUDES,第七部分包含剥离非核心业务和无前景的业务
part7,part7_german_strengths_weaknesses,INCLUDES,第七部分包含德国企业擅长和不擅长的行业
root,part8,CONTAINS,德国家族企业包含第八部分与同行合作共赢
part8,part8_competition_concept,INCLUDES,第八部分包含德国企业的竞争理念
part8,part8_cooperation_competition,INCLUDES,第八部分包含反对过分竞争提倡合作共赢
part8,part8_cooperation_history,INCLUDES,第八部分包含合作竞争案例
part8,part8_cooperation_reasons,INCLUDES,第八部分包含竞争对手进行合作的原因和动机
part8,part8_cooperation_networks,INCLUDES,第八部分包含建立同行合作网络
part8,part8_joint_ventures,INCLUDES,第八部分包含成立合资公司
part8,part8_corporate_groups,INCLUDES,第八部分包含打造企业集团
part8,part8_auto_cooperation,INCLUDES,第八部分包含三大汽车制造商之间的合作
part8,part8_unite_against_outside,INCLUDES,第八部分包含联合起来一致对外
part8,part8_industry_associations,INCLUDES,第八部分包含借力行业协会
part8,part8_framework_conditions,INCLUDES,第八部分包含框架条件
part8,part8_competitive_analysis,INCLUDES,第八部分包含竞争分析和标杆管理
part8,part8_didi_kuaidi_case,INCLUDES,第八部分包含滴滴快的补贴大战案例分析
root,part9,CONTAINS,德国家族企业包含第九部分保持与客户的长期和紧密的关系
part9,part9_longterm_customer_relations,INCLUDES,第九部分包含重视与客户的长期合作关系
part9,part9_flat_organization,INCLUDES,第九部分包含扁平化的组织结构
part9,part9_executive_customer_relations,INCLUDES,第九部分包含高管维护客户关系
part9,part9_demanding_customers,INCLUDES,第九部分包含让世界上最挑剔的客户满意
part9,part9_integrated_solutions,INCLUDES,第九部分包含为客户提供一体化的解决方案
part9,part9_customer_service,INCLUDES,第九部分包含客户服务
part9,part9_customer_trust,INCLUDES,第九部分包含赢得客户信任
part9,part9_brand_reputation,INCLUDES,第九部分包含墙内开花墙外香
part9,part9_dual_governance,INCLUDES,第九部分包含德国企业的双重治理结构
root,part10,CONTAINS,德国家族企业包含第十部分吸引并留住核心员工
part10,part10_employee_turnover,INCLUDES,第十部分包含德国企业的员工流动率
part10,part10_local_talent,INCLUDES,第十部分包含就地取材
part10,part10_value_alignment,INCLUDES,第十部分包含员工与企业的核心价值观一致
part10,part10_training,INCLUDES,第十部分包含员工培训和技能提升
part10,part10_internal_promotion,INCLUDES,第十部分包含内部培养管理人员
part10,part10_expert_track,INCLUDES,第十部分包含专家型发展模式
part10,part10_profit_sharing,INCLUDES,第十部分包含让员工分享利润
part10,part10_compensation,INCLUDES,第十部分包含提供有吸引力的薪酬福利和工作条件
part10,part10_authorization,INCLUDES,第十部分包含充分授权
part10,part10_job_security,INCLUDES,第十部分包含让员工具有安全感
part10,part10_boomerang_employees,INCLUDES,第十部分包含欢迎好马吃回头草
root,part11,CONTAINS,德国家族企业包含第十一部分稳健保守的财务政策
part11,part11_conservative_finance,INCLUDES,第十一部分包含奉行谨慎保守的财务政策
part11,part11_privacy_factors,INCLUDES,第十一部分包含注重私密因素
part11,part11_financial_independence,INCLUDES,第十一部分包含保持财务上的独立性
part11,part11_internal_financing,INCLUDES,第十一部分包含内源融资
part11,part11_risk_reserves,INCLUDES,第十一部分包含为潜在风险留足准备金
part11,part11_cash_is_king,INCLUDES,第十一部分包含现金为王
root,part12,CONTAINS,德国家族企业包含第十二部分代际传承基业长青
part12,part12_succession_challenges,INCLUDES,第十二部分包含中国家族企业代际传承面临的挑战
part12,part12_succession_elements,INCLUDES,第十二部分包含家族企业传承的要素
part12,part12_succession_advantages,INCLUDES,第十二部分包含家族企业传承的优势
part12,part12_family_constitution,INCLUDES,第十二部分包含家族宪章
part12,part12_tradition_modern,INCLUDES,第十二部分包含传统与现代的结合
part12,part12_succession_planning,INCLUDES,第十二部分包含确保代际顺利传承
root,part13,CONTAINS,德国家族企业包含第十三部分匡特家族（一）
part13,part13_immigration,INCLUDES,第十三部分包含移民勃兰登堡
part13,part13_emil_entrepreneur,INCLUDES,第十三部分包含从学徒到企业家
part13,part13_management_philosophy,INCLUDES,第十三部分包含老匡特的经营理念和接班人培养
part13,part13_gunther_entrepreneur,INCLUDES,第十三部分包含第二代的企业家之路
part13,part13_wwi_period,INCLUDES,第十三部分包含匡特在一战期间
part13,part13_acquisition_master,INCLUDES,第十三部分包含被称为收购大师的金特·匡特
part13,part13_herbert_training,INCLUDES,第十三部分包含培养第三代接班人赫伯特·匡特
part13,part13_generation_transition,INCLUDES,第十三部分包含匡特家族的世纪交替
root,part14,CONTAINS,德国家族企业包含第十四部分匡特家族（二）
part14,part14_daimler_competition,INCLUDES,第十四部分包含角逐戴姆勒-奔驰公司
part14,part14_bmw_competition,INCLUDES,第十四部分包含角逐宝马公司
part14,part14_bmw_crisis,INCLUDES,第十四部分包含宝马公司陷入困境
part14,part14_bmw_shareholder_meeting,INCLUDES,第十四部分包含宝马公司慕尼黑股东大会
part14,part14_bmw_rescue,INCLUDES,第十四部分包含拯救宝马
part14,part14_fourth_generation,INCLUDES,第十四部分包含第四代传承
part14,part14_mother_children,INCLUDES,第十四部分包含母亲和子女之间
part14,part14_bmw_modern,INCLUDES,第十四部分包含第四代手中的宝马集团
root,case_guiren_bird,CONTAINS,德国家族企业包含贵人鸟案例分析 